"Begin Time - msec","End Time - msec","Duration - msec","LH_phase","File","File Path"
34357,35538,1181,"prep","antwerp3b_run1_segm.eaf"
35538,35831,293,"stroke","antwerp3b_run1_segm.eaf"
35831,36901,1070,"retr","antwerp3b_run1_segm.eaf"
39149,39623,474,"prep","antwerp3b_run1_segm.eaf"
39623,40876,1253,"stroke","antwerp3b_run1_segm.eaf"
40876,42000,1124,"hold","antwerp3b_run1_segm.eaf"
42000,45038,3038,"stroke","antwerp3b_run1_segm.eaf"
45038,46279,1241,"prep","antwerp3b_run1_segm.eaf"
46279,48123,1844,"stroke","antwerp3b_run1_segm.eaf"
48123,53525,5402,"hold","antwerp3b_run1_segm.eaf"
53525,55129,1604,"stroke","antwerp3b_run1_segm.eaf"
55129,55685,556,"retr","antwerp3b_run1_segm.eaf"

2447,4273,1826,"stroke","antwerp3b_run2_segm.eaf"
4273,7578,3305,"hold","antwerp3b_run2_segm.eaf"
7578,9463,1885,"stroke","antwerp3b_run2_segm.eaf"
9463,9778,315,"prep","antwerp3b_run2_segm.eaf"
9778,10757,979,"stroke","antwerp3b_run2_segm.eaf"
10757,11400,643,"prep","antwerp3b_run2_segm.eaf"
11400,12661,1261,"stroke","antwerp3b_run2_segm.eaf"
12661,14431,1770,"stroke","antwerp3b_run2_segm.eaf"
14431,18589,4158,"stroke","antwerp3b_run2_segm.eaf"
18589,21800,3211,"hold","antwerp3b_run2_segm.eaf"
21800,22105,305,"prep","antwerp3b_run2_segm.eaf"
22105,23515,1410,"stroke","antwerp3b_run2_segm.eaf"
23515,24052,537,"retr","antwerp3b_run2_segm.eaf"
24052,26644,2592,"hold","antwerp3b_run2_segm.eaf"
26644,29115,2471,"stroke","antwerp3b_run2_segm.eaf"
29115,31958,2843,"stroke","antwerp3b_run2_segm.eaf"
34884,37940,3056,"rest","antwerp3b_run2_segm.eaf"
37940,38273,333,"prep","antwerp3b_run2_segm.eaf"
38273,39800,1527,"stroke","antwerp3b_run2_segm.eaf"
39800,43642,3842,"hold","antwerp3b_run2_segm.eaf"
43642,44901,1259,"retr","antwerp3b_run2_segm.eaf"
44901,48757,3856,"stroke","antwerp3b_run2_segm.eaf"
48757,49294,537,"prep","antwerp3b_run2_segm.eaf"
49294,49947,653,"stroke","antwerp3b_run2_segm.eaf"
49947,50642,695,"retr","antwerp3b_run2_segm.eaf"

16433,17051,618,"stroke","antwerp4a_run1_segm.eaf"
17051,17507,456,"retr","antwerp4a_run1_segm.eaf"
22544,23132,588,"prep","antwerp4a_run1_segm.eaf"
23132,23433,301,"stroke","antwerp4a_run1_segm.eaf"
23433,24007,574,"retr","antwerp4a_run1_segm.eaf"
28507,29169,662,"prep","antwerp4a_run1_segm.eaf"
29169,29330,161,"stroke","antwerp4a_run1_segm.eaf"
29330,29889,559,"retr","antwerp4a_run1_segm.eaf"
29889,31117,1228,"rest","antwerp4a_run1_segm.eaf"
34919,35588,669,"rest","antwerp4a_run1_segm.eaf"
43051,43830,779,"stroke","antwerp4a_run1_segm.eaf"

6156,7906,1750,"rest","antwerp4a_run2_segm.eaf"
7906,8796,890,"stroke","antwerp4a_run2_segm.eaf"
8796,9843,1047,"stroke","antwerp4a_run2_segm.eaf"
9843,10890,1047,"retr","antwerp4a_run2_segm.eaf"
17625,19968,2343,"hold","antwerp4a_run2_segm.eaf"
24625,27984,3359,"rest","antwerp4a_run2_segm.eaf"
28781,30478,1697,"rest","antwerp4a_run2_segm.eaf"
32750,33231,481,"stroke","antwerp4a_run2_segm.eaf"
33231,33828,597,"retr","antwerp4a_run2_segm.eaf"
35484,36609,1125,"rest","antwerp4a_run2_segm.eaf"
58531,59687,1156,"rest","antwerp4a_run2_segm.eaf"
59687,60178,491,"prep","antwerp4a_run2_segm.eaf"
60178,63431,3253,"stroke","antwerp4a_run2_segm.eaf"
63431,64314,883,"retr","antwerp4a_run2_segm.eaf"
65609,66852,1243,"rest","antwerp4a_run2_segm.eaf"
66852,67947,1095,"stroke","antwerp4a_run2_segm.eaf"
67947,68468,521,"retr","antwerp4a_run2_segm.eaf"

6618,7906,1288,"stroke","antwerp4b_run1_segm.eaf"

45694,46221,527,"stroke","antwerp4b_run2_segm.eaf"

1221,1754,533,"prep","antwerp5a_run1_segm.eaf"
1754,2306,552,"stroke","antwerp5a_run1_segm.eaf"
2306,2683,377,"retr","antwerp5a_run1_segm.eaf"
4297,4919,622,"prep","antwerp5a_run1_segm.eaf"
4919,6245,1326,"stroke","antwerp5a_run1_segm.eaf"
6245,6846,601,"retr","antwerp5a_run1_segm.eaf"
7457,8320,863,"stroke","antwerp5a_run1_segm.eaf"
8320,10103,1783,"hold","antwerp5a_run1_segm.eaf"
10103,10283,180,"prep","antwerp5a_run1_segm.eaf"
10283,11617,1334,"stroke","antwerp5a_run1_segm.eaf"
11617,14014,2397,"hold","antwerp5a_run1_segm.eaf"
14014,15702,1688,"stroke","antwerp5a_run1_segm.eaf"
15702,19471,3769,"hold","antwerp5a_run1_segm.eaf"
19471,20283,812,"stroke","antwerp5a_run1_segm.eaf"
20283,22264,1981,"hold","antwerp5a_run1_segm.eaf"
22264,23061,797,"prep","antwerp5a_run1_segm.eaf"
23061,24773,1712,"stroke","antwerp5a_run1_segm.eaf"
24773,25400,627,"stroke","antwerp5a_run1_segm.eaf"
25400,28113,2713,"hold","antwerp5a_run1_segm.eaf"
28113,28551,438,"prep","antwerp5a_run1_segm.eaf"
28551,29981,1430,"stroke","antwerp5a_run1_segm.eaf"
29981,31952,1971,"stroke","antwerp5a_run1_segm.eaf"
31952,32629,677,"prep","antwerp5a_run1_segm.eaf"
32629,33306,677,"stroke","antwerp5a_run1_segm.eaf"
33306,34646,1340,"stroke","antwerp5a_run1_segm.eaf"
