"","File","ges.freq","descr.dur.sec","ges.rate.min","PoT","stroke.freq","hold.freq","prep.freq","retr.freq","stroke.rate.min","hold.rate.min","prep.rate.min","retr.rate.min","item","gender","language","condition","run","subject"
"20","antwerp5b_run2","18","66.2","16.3141993957704","0.748640483383686","30","10","12","9","27.190332326284","9.06344410876133","10.8761329305136","8.1570996978852","playground","f","dutch","ns","run2","AN5b"
"21","antwerp6a_run1","27","95.44","16.9740150880134","0.636211232187762","44","2","25","22","27.661357921207","1.25733445096396","15.7166806370495","13.8306789606035","gym","m","dutch","ns","run1","AN6a"
"22","antwerp6a_run2","18","101.08","10.6846062524733","0.588444796201029","22","3","15","16","13.0589631974674","1.78076770874555","8.90383854372774","9.49742777997626","lake","m","dutch","ns","run2","AN6a"
"23","antwerp6b_run1","15","68.88","13.0662020905923","0.472706155632985","21","0","9","7","18.2926829268293","0","7.8397212543554","6.09756097560976","forest","m","dutch","ns","run1","AN6b"
"24","antwerp6b_run2","23","81.96","16.8374816983895","0.714006832601269","36","2","18","14","26.3543191800878","1.46412884333821","13.1771595900439","10.2489019033675","playground","m","dutch","ns","run2","AN6b"
"25","leuven11a_run1","20","150.08","7.99573560767591","0.293976545842217","32","1","16","20","12.7931769722814","0.399786780383795","6.39658848614072","7.99573560767591","gym","f","dutch","nns","run1","LE11a"
"26","leuven11a_run2","20","116.72","10.2810143934202","0.407470870459219","26","0","0","9","13.3653187114462","0","0","4.62645647703907","lake","f","dutch","nns","run2","LE11a"
"27","leuven11b_run1","13","86.48","9.01942645698427","0.284921369102683","19","0","6","12","13.1822386679001","0","4.16281221091582","8.32562442183164","forest","m","french","nns","run1","LE11b"
"28","leuven11b_run2","25","108.28","13.852973771703","0.376431473956409","37","8","14","15","20.5024011821204","4.43295160694496","7.75766531215368","8.3117842630218","playground","m","french","nns","run2","LE11b"
"29","leuven12a_run1","5","59.32","5.05731625084289","0.332434254888739","10","0","3","2","10.1146325016858","0","3.03438975050573","2.02292650033715","lake","f","dutch","nns","run1","LE12a"
"30","leuven12a_run2","5","68","4.41176470588235","0.179411764705882","9","0","8","6","7.94117647058824","0","7.05882352941176","5.29411764705882","gym","f","dutch","nns","run2","LE12a"
"31","leuven12b_run1","14","81.2","10.3448275862069","0.450738916256158","20","2","16","19","14.7783251231527","1.47783251231527","11.8226600985222","14.0394088669951","forest","m","french","nns","run1","LE12b"
"32","leuven12b_run2","16","70.92","13.5363790186125","0.473209249858996","18","4","11","11","15.2284263959391","3.38409475465313","9.30626057529611","9.30626057529611","playground","m","french","nns","run2","LE12b"
"33","leuven1a_run1","19","77.36","14.7362978283351","0.419855222337125","24","1","17","16","18.6142709410548","0.77559462254395","13.1851085832472","12.4095139607032","lake","f","dutch","nns","run1","LE1a"
"34","leuven1a_run2","18","48.6","22.2222222222222","0.877366255144033","29","6","9","9","35.8024691358025","7.40740740740741","11.1111111111111","11.1111111111111","gym","f","dutch","nns","run2","LE1a"
"35","leuven1b_run1","32","72.72","26.4026402640264","0.980748074807481","46","26","17","11","37.953795379538","21.4521452145215","14.026402640264","9.07590759075907","forest","f","french","nns","run1","LE1b"
"36","leuven1b_run2","15","52.56","17.1232876712329","0.666666666666667","19","13","5","13","21.689497716895","14.8401826484018","5.70776255707763","14.8401826484018","playground","f","french","nns","run2","LE1b"
"37","leuven2a_run1","14","45.64","18.4049079754601","0.672217353198948","24","13","7","5","31.5512708150745","17.0902716914987","9.20245398773006","6.57318141980719","gym","f","french","nns","run1","LE2a"
"38","leuven2a_run2","10","31.52","19.0355329949239","0.878172588832487","12","10","6","9","22.8426395939086","19.0355329949239","11.4213197969543","17.1319796954315","lake","f","french","nns","run2","LE2a"
"39","leuven2b_run1","6","38.56","9.33609958506224","0.41701244813278","7","1","4","5","10.8921161825726","1.55601659751037","6.22406639004149","7.78008298755187","forest","m","dutch","nns","run1","LE2b"
"40","leuven2b_run2","10","23.16","25.9067357512953","0.773747841105354","13","0","3","5","33.6787564766839","0","7.7720207253886","12.9533678756477","playground","m","dutch","nns","run2","LE2b"
"41","leuven3a_run1","14","60.96","13.7795275590551","0.715223097112861","24","0","13","9","23.6220472440945","0","12.7952755905512","8.85826771653543","gym","f","dutch","nns","run1","LE3a"
"42","leuven3a_run2","28","75.68","22.1987315010571","0.757399577167019","51","2","22","29","40.4334038054968","1.58562367864693","17.4418604651163","22.9915433403805","lake","f","dutch","nns","run2","LE3a"
"43","leuven3b_run1","27","103","15.7281553398058","0.737087378640777","38","3","11","16","22.1359223300971","1.74757281553398","6.40776699029126","9.32038834951456","forest","f","french","nns","run1","LE3b"
"44","leuven3b_run2","8","37.04","12.9589632829374","0.496760259179266","13","0","8","5","21.0583153347732","0","12.9589632829374","8.09935205183585","playground","f","french","nns","run2","LE3b"
"45","leuven4a_run1","24","111.72","12.8893662728249","0.321160042964554","40","2","18","26","21.4822771213749","1.07411385606874","9.66702470461869","13.9634801288937","gym","m","french","nns","run1","LE4a"
"46","leuven4a_run2","31","128.76","14.4454799627213","0.457595526561044","46","4","30","37","21.4352283317801","1.86393289841566","13.9794967381174","17.2413793103448","lake","m","french","nns","run2","LE4a"
"47","leuven4b_run1","19","119.76","9.5190380761523","0.421509686038744","30","4","5","15","15.0300601202405","2.00400801603206","2.50501002004008","7.51503006012024","forest","f","dutch","nns","run1","LE4b"
"48","leuven4b_run2","24","137.72","10.455997676445","0.347371478361894","34","3","16","22","14.8126633749637","1.30699970955562","6.97066511762997","9.58466453674121","playground","f","dutch","nns","run2","LE4b"
"49","leuven5a_run1","10","81.36","7.37463126843658","0.305309734513274","16","3","8","12","11.7994100294985","2.21238938053097","5.89970501474926","8.84955752212389","gym","f","dutch","nns","run1","LE5a"
"50","leuven5a_run2","43","178.72","14.4359892569382","0.703446732318711","59","31","22","18","19.8075201432408","10.4073410922113","7.38585496866607","6.04297224709042","lake","f","dutch","nns","run2","LE5a"
"51","leuven5b_run1","28","72.12","23.2945091514143","0.782584581253466","43","20","29","10","35.7737104825291","16.6389351081531","24.126455906822","8.31946755407654","forest","m","french","nns","run1","LE5b"
"52","leuven5b_run2","34","127.2","16.0377358490566","0.618238993710692","60","26","25","3","28.3018867924528","12.2641509433962","11.7924528301887","1.41509433962264","playground","m","french","nns","run2","LE5b"
